turn,intersection,org,dst,length
46153,46150,9598,9597,25.2356581034771
46157,46156,9540,9539,24.197708242708366
46158,46156,9540,9613,18.777929510495895
46159,46156,9612,9539,18.688517463384184
46160,46156,9612,9613,24.757083636008694
46164,46163,1259,9540,18.583570709013053
46165,46163,1259,9626,27.453423685962612
46166,46163,9541,9540,25.916788880087942
46167,46163,9541,9626,22.815419465336973
46171,46170,9545,9544,29.099609374916138
46172,46170,9545,16996,23.003728523501554
46173,46170,9626,9544,15.122833398778027
46174,46170,9626,16996,21.015621463115583
46178,46177,9544,9543,26.61816406255261
46179,46177,9544,9614,18.630975527092275
46180,46177,9613,9543,17.713078595931027
46181,46177,9613,9614,24.070312502696993
46185,46184,9543,9542,22.92089843753218
46186,46184,9543,9598,18.60703507386272
46187,46184,9599,9542,14.59330372401583
46188,46184,9599,9598,24.834769146786325
46192,46191,9794,9514,10.13417306088756
46193,46191,9794,10120,16.108428748342885
46194,46191,10192,9514,16.646517218021227
46195,46191,10192,10120,9.780757612397505
46199,46198,16995,1260,20.447797119413558
46200,46198,16995,9541,21.027768562499645
46201,46198,17043,1260,23.54897868274624
46202,46198,17043,9541,37.06262877353203
46206,46205,9939,9507,19.591491463125184
46207,46205,10113,1016,16.689242121841215
46208,46205,10113,9507,11.475870118882503
46212,46211,9614,9934,25.416695270046066
46213,46211,9614,9945,25.6469565969188
46214,46211,9944,9934,20.257507375922565
46215,46211,9944,9945,39.46980950301246
46219,46218,10017,10016,15.289228941544307
46220,46218,10017,10018,19.590472449727255
46221,46218,10022,10016,23.271138349091824
46222,46218,10022,10018,15.201931669880523
46226,46225,10013,10011,18.52875311876163
46227,46225,10013,10012,22.735111852456846
46228,46225,10016,10011,30.07871238882485
46229,46225,10016,10012,18.894842768734854
46233,46232,10009,9989,24.178477315196652
46234,46232,10009,10008,19.63864080577001
46235,46232,10011,9989,14.686887593846716
46236,46232,10011,10008,21.06418159321497
46240,46239,9988,10005,15.783548368734142
46241,46239,9988,10006,20.566684291856966
46242,46239,10008,10005,20.98448262621659
46243,46239,10008,10006,13.35004595603127
46247,46246,10001,9985,19.919587237285132
46248,46246,10001,10003,16.237962268526704
46249,46246,10005,9985,13.282458137699496
46250,46246,10005,10003,20.061509066603463
46254,46253,9984,9999,22.224512286869654
46255,46253,9984,10000,25.176595876376062
46256,46253,10003,9999,24.90949187489584
46257,46253,10003,10000,15.53988875874114
46261,46260,9827,9983,19.292249535341156
46262,46260,9827,9997,12.632475448912409
46263,46260,9996,9983,16.337946002508847
46264,46260,9996,9997,20.42482345722201
46268,46267,9985,9986,20.37356325042932
46269,46267,9985,10004,14.877369789194617
46270,46267,10002,9986,14.154665327555056
46271,46267,10002,10004,19.47311435623411
46275,46274,9987,9988,21.65419628975776
46276,46274,9987,10007,12.738800820061538
46277,46274,10004,9988,17.204843842505728
46278,46274,10004,10007,20.60827291058827
46282,46281,9327,9987,20.203490770891143
46283,46281,9327,9995,9.3354317628925
46284,46281,9993,9987,17.221763131443446
46285,46281,9993,9995,17.814458250312367
46289,46288,9990,9355,27.106681494657984
46290,46288,9990,9993,22.377168624817863
46291,46288,9992,9355,15.97955765712749
46292,46288,9992,9993,25.120766391050783
46296,46295,9989,9990,24.11351827777552
46297,46295,9989,10010,20.52944877359069
46298,46295,10007,9990,17.283807988070823
46299,46295,10007,10010,23.09267615724805
46303,46302,9991,9383,20.126461558759317
46304,46302,9991,9992,14.803452282582594
46305,46302,10014,9383,15.777693208594645
46306,46302,10014,9992,24.6434964833576
46310,46309,10010,9991,16.11721470994578
46311,46309,10010,10015,21.5240819832163
46312,46309,10012,9991,23.917456360517942
46313,46309,10012,10015,16.078236421634227
46317,46316,9981,9982,22.533735013812823
46318,46316,9981,10014,15.769661250461942
46319,46316,10020,9982,15.832149409367943
46320,46316,10020,10014,22.75513681846732
46324,46323,9982,10017,23.650638041279755
46325,46323,9982,10021,13.041257469191907
46326,46323,10015,10017,16.546946051889744
46327,46323,10015,10021,19.61538234278152
46331,46330,9411,9978,17.29791517684715
46332,46330,9411,9979,31.333877210069545
46333,46330,9819,9978,21.49134728593406
46334,46330,9819,9979,21.60638321222012
46338,46337,9979,9820,21.3506015069994
