id,from_x,from_y,to_x,to_y,length,out_ang,num_lanes,c_x,c_y,cluster,grid_x,grid_y,grid_nb
997,429162.81748346175,4581737.119912285,429175.02272621775,4581748.791132263,11.456049804469025,1.5888843292210908,4,429168.9201048397,4581742.955522275,0,1950.0,20826.0,55
998,429299.5073301176,4581709.559756596,429308.694283818,4581721.397402597,11.694383326370792,-1.58688322348165,3,429304.1008069678,4581715.478579596,0,1951.0,20825.0,67
999,429432.5500258864,4581737.708729209,429441.6112223489,4581748.608894737,10.849455016114486,1.565142528217791,3,429437.08062411763,4581743.158811973,0,1951.0,20826.0,68
1000,429566.5864252335,4581709.4048792,429578.7799644237,4581721.569485424,11.970583605777252,-1.587098146343456,4,429572.68319482857,4581715.487182312,0,1952.0,20825.0,77
1001,429700.4418953792,4581736.04539543,429712.50672850845,4581746.479347702,10.358777227830064,1.564514667246575,4,429706.47431194386,4581741.262371566,0,1953.0,20826.0,87
1002,429700.8013887464,4581711.616079279,429712.8635878086,4581721.244302263,9.549948438361284,1.5773362711920131,4,429706.8324882775,4581716.430190771,0,1953.0,20825.0,86
1003,429968.3337850056,4581708.880729945,429986.4016541771,4581719.434796011,10.436571095377277,-1.5642563824066995,6,429977.36771959136,4581714.157762978,3,1954.0,20825.0,96
1004,430157.2653484316,4581706.838439611,430177.1736449041,4581725.40933896,19.379215273728487,-0.0298783693026455,6,430167.21949666785,4581716.123889286,3,1955.0,20825.0,106
1005,430158.0141907994,4581733.376179387,430175.8671875136,4581741.445577352,17.24748076818156,0.1229165395734175,2,430166.94068915653,4581737.41087837,3,1955.0,20826.0,107
1006,430160.2537690677,4581745.421101804,430173.6668264198,4581754.608407521,13.28690563954889,-3.127427205978258,3,430166.9602977438,4581750.014754662,3,1955.0,20826.0,107
1008,430177.2640916189,4581725.32369417,430186.3019299967,4581735.468150778,10.110789974612937,1.5745449658198762,3,430181.7830108078,4581730.395922475,3,1955.0,20826.0,107
1009,430314.5152389834,4581740.744953562,430329.0682406874,4581746.970803496,14.460762660220716,-0.0156696998410652,2,430321.7917398354,4581743.857878529,3,1956.0,20826.0,116
1010,430314.5501361452,4581747.633520687,430326.3619569184,4581753.834868278,11.709941305725597,3.1243207841540994,2,430320.4560465318,4581750.734194483,3,1956.0,20826.0,116
1011,430308.4176568182,4581701.623684933,430328.8376019621,4581720.042595784,20.04462865999797,0.021100371825855,6,430318.6276293901,4581710.833140358,3,1955.0,20825.0,106
1012,430315.2720350731,4582164.466037769,430323.9886444062,4582216.187351247,51.47586532206888,-1.623758950162625,2,430319.6303397396,4582190.326694508,3,1955.0,20828.0,109
1013,430345.1058846496,4582098.933806697,430353.7772819218,4582131.107110606,31.779169233498028,1.485954198340891,2,430349.4415832857,4582115.020458652,3,1956.0,20827.0,117
