id,from_x,from_y,to_x,to_y,length,out_ang,num_lanes
10098,428362.92346914305,4581736.7860964555,428369.1072706776,4581749.125327696,12.250263864142157,-1.5858563212294352,2
10099,428492.4471190337,4581708.594793004,428504.52645129967,4581720.842756837,12.169745313021275,1.5773362711859837,4
10100,428630.22746902687,4581737.425429242,428636.2958623813,4581747.941927374,10.477482811255626,-1.5642563823955191,2
10101,428763.4195848585,4581707.978420783,428772.50581176946,4581721.251176179,13.214178906450735,1.5773362711891568,3
10102,428896.1570245354,4581737.625145252,428905.21774768946,4581746.998266076,9.314460936900185,-1.564256382402314,3
10103,429030.3469289414,4581737.404214818,429039.4111310758,4581747.309286767,9.846423437889808,-1.5642563824008,3
10104,429163.6402510875,4581709.198181511,429175.69329724566,4581721.350687566,12.09989978051349,1.5664027241642868,4
10105,429299.6723142463,4581737.16043175,429308.7378209779,4581747.264982245,10.045906250058978,-1.5642563824020876,3
10106,429432.99729141063,4581710.172557825,429442.0656076773,4581720.706698352,10.475505468697865,1.5773362711915462,3
10107,429566.93398443126,4581736.839362371,429578.99008718325,4581748.526066516,11.628801737365999,-1.5756328805306776,4
10108,429990.87801755185,4581702.5948467795,430141.31353642105,4581713.20016741,150.3222364408417,0.030659885369838897,2
10109,429967.0759853578,4581732.910330264,429979.41451530723,4581745.494891995,12.253224508841754,-1.5988121242039341,4
10110,430187.75345308403,4581736.57861389,430292.7665376315,4581744.157124762,104.93467242465343,0.015049839399184611,2
10111,430350.72306140646,4581702.574699932,430497.1512015242,4581708.639421124,146.42550235171672,-0.0004420116716999145,2
10112,430519.47518450883,4581701.170131742,430633.05464355234,4581708.511009117,113.51648838339432,-0.011816146403969772,2
10113,430504.5364851508,4581734.914421123,430516.6073136336,4581745.862119794,10.869452343535663,-1.5642563824085725,4
10114,430661.3753951223,4581700.868600291,430770.41230350465,4581707.581320836,108.99999999994692,0.006539944390814888,2
10115,430784.68846684287,4581702.080354526,430906.70458984165,4581708.877959624,121.97949218747988,0.006539944400568069,2
10116,430775.163713838,4581734.4932029545,430781.24586718227,4581747.113662968,12.581489687450416,-1.564256382397461,2
10117,430920.5470529568,4581702.257992419,431035.32675472344,4581713.762450029,114.62378434117923,0.048101040306252854,2
10118,430910.6367306557,4581710.060319118,430916.6995680961,4581719.727294014,9.62794140653119,1.577336271187005,2
10119,431043.4542615308,4581738.728518648,431049.49343647144,4581744.7773951385,6.009765625349363,-1.5642563824032656,2
10120,431208.7516883087,4581712.380280118,431222.23649012053,4581747.480425067,34.613847499980594,1.6140299220696304,4
10121,431140.453836034,4581716.702199315,431153.8657196415,4581749.949162818,32.75651646811049,-1.6142583248995026,4
10122,431327.3599098654,4581702.905822961,431441.5577589736,4581708.994581681,114.19321990181179,0.0007772838129340731,2
10123,431465.9577331512,4581701.660776912,431572.18415476306,4581708.355116769,106.18945312486873,0.006539944397787467,2
10124,431444.894234386,4581733.7960421,431457.2393028838,4581745.219046599,11.047169065382965,-1.602586444654241,4
10125,431598.95611166,4581703.850315445,431707.4128654616,4581707.559434226,108.43945312508404,0.006539944389356324,1
10126,431580.6379969759,4581709.004424837,431586.84815733385,4581718.736843647,9.602524701537098,1.592835806436851,2
10127,431732.3783458095,4581701.940041976,431839.1069100424,4581705.432746911,106.71584995222231,-0.004617295988950657,1
10128,431715.04794621485,4581733.021207673,431727.1605722509,4581746.178025056,13.053355691858908,-1.579459057485893,4
10129,431873.51566258434,4581725.846629534,431985.0194813723,4581735.129194902,111.48136284856388,-3.1390577492841016,3
10130,432011.23013488273,4581724.911898537,432109.28689819743,4581734.55261605,98.00000000003199,-3.135052709195409,3
10131,431993.99410914147,4581734.388754521,432006.13633187587,4581746.793008881,12.265141799894904,-1.5824588131860382,4
10132,431588.9560311668,4582156.824415389,431704.3822935385,4582220.019408958,126.67106656763401,2.667250484149826,2
10133,431465.60649326735,4582220.121208545,431578.4346988066,4582278.517460536,122.30353678795409,2.6934913884895817,2
10134,431324.66405963147,4582289.442146585,431442.46343325224,4582350.573527163,127.95987542690315,2.6909659456438795,2
10135,431321.85802766454,4582282.408884686,431356.1187211071,4582302.817609822,35.05977106841474,-0.4416081527867667,2
10136,431575.33006209286,4582172.62293124,431584.52977206226,4582183.3527299,10.56011852366169,1.589864127546798,3
10137,431456.3955368314,4582168.836290522,431573.3363849985,4582232.868147177,128.39919312116652,-0.47476861576243656,2
10138,431216.6920640251,4582354.340818153,431311.8701835006,4582406.928817662,103.8204936785044,2.669145469384958,2
10139,431197.35666053905,4582302.181224832,431310.28377279907,4582365.26871805,124.37308355323684,-0.4830956046905629,2
10140,431311.52723184275,4582307.004174187,431320.54223244835,4582319.891430529,12.876776401254284,1.5696309170416933,3
10141,431051.4373483842,4582417.46669192,431092.4194123414,4582440.330014527,42.25856801532674,-0.42425082667565556,2
10142,431053.29590733006,4582429.815377428,431144.7881288824,4582485.2388603445,101.7766150678792,2.6257375159142518,2
