id,x,y
69285,432415.7200513401,4583115.648934833
69287,432129.10159154306,4583161.075253908
69289,432384.8921863271,4583120.4493208015
69291,427955.57781233994,4582197.672173713
69293,427938.2107500732,4581989.063623303
69295,428739.24332073523,4583367.30354864
69297,428857.336220385,4583418.503846984
69299,428240.139818809,4581348.8961747745
69301,428360.68868248217,4581244.0671807015
69303,427762.6602379628,4581772.787938994
69305,432655.82275398605,4582722.107191825
69307,432698.4941070049,4582660.472196274
69309,432407.81331885065,4581387.978103859
69311,432374.9124499389,4581321.086242534
69313,432118.18041230814,4581116.869027899
69315,432047.61977836554,4581073.543973294
69317,429745.30889595364,4583320.675897295
69319,429832.2116970326,4583231.945108629
69321,428608.6949270262,4583208.872663269
69323,428544.58528386796,4583180.472987764
69325,428471.60061519407,4583143.680683206
69327,428350.51327433577,4583088.71395811
69629,431616.80900061043,4582919.072806173
72788,430941.5385432385,4582580.98475376
73575,431596.4245555868,4582163.619262167
73577,431143.06116464006,4582473.498195214
